,Rewards,Epsilon
795,77.51666667,0.457065423
796,68.16666667,0.456618581
797,62.96666667,0.456172185
798,75.86666667,0.455726236
799,59.65,0.455280733
800,62.76666667,0.454835674
801,57.34761905,0.454391061
802,64.7,0.453946892
803,62.66666667,0.453503167
804,79.18333333,0.453059886
805,67.28095238,0.452617047
806,68.68333333,0.452174651
807,58.33333333,0.451732698
808,69.8,0.451291186
809,90.65,0.450850115
810,70.3,0.450409486
811,63.83333333,0.449969296
812,66.25714286,0.449529547
813,53.8797619,0.449090237
814,64.66190476,0.448651366
815,66.3,0.448212934
816,82.11666667,0.44777494
817,79.94761905,0.447337384
818,57.6,0.446900265
819,63.225,0.446463583
820,57.41666667,0.446027338
821,57.77864358,0.445591529
822,55.01944444,0.445156155
823,67.38333333,0.444721216
824,105.85,0.444286712
825,64.7,0.443852643
826,64.41428571,0.443419007
827,59.36666667,0.442985804
828,61.64022367,0.442553035
829,62.78333333,0.442120698
830,65.16666667,0.441688793
831,59.35,0.44125732
832,54.80238095,0.440826279
833,69.68333333,0.440395668
834,67.32619048,0.439965487
835,93.9,0.439535737
836,64.81904762,0.439106416
837,66.71666667,0.438677524
838,57.81666667,0.43824906
839,73.31666667,0.437821025
840,64.96666667,0.437393418
841,69.44761905,0.436966238
842,65.01666667,0.436539486
843,73.55714286,0.436113159
844,58.83733766,0.435687259
845,85.2,0.435261785
846,80.78333333,0.434836735
847,67.16666667,0.434412111
848,60.90714286,0.433987911
849,71.76666667,0.433564135
850,62.6234127,0.433140783
851,74.75,0.432717853
852,66.05,0.432295347
853,64.48333333,0.431873263
854,65.21666667,0.4314516
855,60.25238095,0.431030359
856,85.71666667,0.430609539
857,62.35,0.43018914
858,58.20238095,0.429769161
859,67,0.429349601
860,86.58333333,0.428930461
861,65.76666667,0.42851174
